0,1,Cuentas de vueltas,Muestreo (s),Torque de referencia (N-m),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de control difuso (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,,,
Hora de inicio,16_49_03,,,,,,,,,
Hora de finalización,16_50_28,,,,,,,,,
Voltage de salida analoga,0.0,,,,,,,,,
Voltaje offset celda 1,-0.01005562513787282,,,,,,,,,
Voltaje offset celda 2,-0.0434787874648382,,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,,,
,,0,31.99138307571411,0.0,0.0,-0.4527573371133455,3.7779355408233165e-06,5.737526612464017e-06,{'V': 0.008557587874941016},-0.01278462643696799
,,0,32.24136018753052,0.0,0.0,-0.4534778111420551,3.476087296273404e-06,5.76896913793791e-06,{'V': 0.008389848360753875},-0.01266388713914822
,,0,32.49009609222412,0.0,0.0,-0.45150598748453535,3.7213389949701874e-06,6.718533407249969e-06,{'V': 0.008399532866852051},-0.014284434902073147
,,0,32.7403244972229,0.0,0.0,-0.45105095125587735,4.312458473879535e-06,6.139990938530196e-06,{'V': 0.009208973977489774},-0.013073268820818437
,,0,32.99055290222168,0.0,0.0,-0.4485482519982569,3.796801056107496e-06,6.680802376681158e-06,{'V': 0.007933059295900694},-0.01515979481126661
,,0,33.240357637405396,0.0,0.0,-0.4522643811989649,4.475959606343692e-06,6.48585871874302e-06,{'V': 0.00952027253884995},-0.013273243282832435
,,0,33.49048209190369,0.0,0.0,-0.45472916077086584,4.608018213334078e-06,6.0959714028666765e-06,{'V': 0.008620622108622574},-0.014278775247487838
,,0,33.74083924293518,0.0,0.0,-0.44930664571268786,4.167822856699609e-06,6.9574966008514174e-06,{'V': 0.010023035576628873},-0.012812924709894497
,,0,33.99031591415405,0.0,0.0,-0.4490032882269155,4.023187239519596e-06,6.624205830828359e-06,{'V': 0.008444866846420393},-0.014491955570200922
,,0,34.24201059341431,0.0,0.0,-0.44760025985521745,4.035764249709397e-06,6.555032274785794e-06,{'V': 0.009269525331144517},-0.013161936742654853
,,0,34.490192890167236,0.0,0.0,-0.44858617168397813,3.95401368347717e-06,6.62420583082815e-06,{'V': 0.00790931139578456},-0.015350336515638476
,,0,34.74004340171814,0.0,0.0,-0.44729690236944464,4.501113626723154e-06,6.900900054998619e-06,{'V': 0.009096098070492144},-0.014433472472819517
,,0,34.99002289772034,0.0,0.0,-0.4492687260269651,3.872263117244978e-06,6.900900054998896e-06,{'V': 0.009567017654215474},-0.01298271434745364
,,0,35.23996067047119,0.0,0.0,-0.4526435780561832,4.375343524827147e-06,7.234190825021608e-06,{'V': 0.008001139581072632},-0.016657716724843383
,,0,35.49187231063843,0.0,0.0,-0.44854825199825676,4.519979142007246e-06,6.422973667795234e-06,{'V': 0.009659883649941168},-0.013063836063176352
,,0,35.74184441566467,0.0,0.0,-0.4494583244555728,4.192976877078758e-06,6.932342580472512e-06,{'V': 0.009549018350101166},-0.013431713611220981
,,0,35.99181652069092,0.0,0.0,-0.4543878835993715,4.765230840703527e-06,6.768841448007989e-06,{'V': 0.008216188461304917},-0.01612570919382488
,,0,36.2417516708374,0.0,0.0,-0.449458324455572,4.658326254092411e-06,7.039247167083471e-06,{'V': 0.01016250599164704},-0.013292108798116816
,,0,36.491649866104126,0.0,0.0,-0.4522264615132431,4.752653830514178e-06,7.139863248600137e-06,{'V': 0.01085334992991112},-0.01267709299984724
,,0,36.74173092842102,0.0,0.0,-0.45040631659861097,5.249445733001776e-06,7.139863248600345e-06,{'V': 0.009355094387084676},-0.015259782042273684
,,0,36.99149441719055,0.0,0.0,-0.45033047722716724,5.255734238096433e-06,7.108420723126105e-06,{'V': 0.00888697582824337},-0.01601062955059046
,,0,37.24196195602417,0.0,0.0,-0.4517335055988648,4.6834802744715605e-06,7.234190825021886e-06,{'V': 0.009398567760660727},-0.01461269486802076
,,0,37.49138379096985,0.0,0.0,-0.4463868299121285,4.784096355988071e-06,7.209036804642771e-06,{'V': 0.009930709076727261},-0.013937309420841267
,,0,37.74143314361572,0.0,0.0,-0.45017879848428166,5.092233105632276e-06,7.4983080390025884e-06,{'V': 0.01039918778496206},-0.01399013286363741
,,0,37.99110412597656,0.0,0.0,-0.4501029591128392,5.12367563110603e-06,8.177466589238957e-06,{'V': 0.01163638980263012},-0.013252491216019641
,,0,38.24089050292969,0.0,0.0,-0.4488136897983074,4.922443468073287e-06,7.737271232604175e-06,{'V': 0.010205885628239268},-0.014325939035698667
,,0,38.490596294403076,0.0,0.0,-0.4528331764847897,5.739949130394613e-06,7.925926385447812e-06,{'V': 0.009701435209065},-0.01624644849164464
,,0,38.74064779281616,0.0,0.0,-0.45218854182752377,5.28088825847579e-06,8.196332104523294e-06,{'V': 0.010278278680914256},-0.015146588950567565
,,0,38.99069929122925,0.0,0.0,-0.44964792288418143,5.9789123239961315e-06,8.208909114713128e-06,{'V': 0.012733361856557811},-0.012956302626055533
,,0,39.24028968811035,0.0,0.0,-0.45203686308463714,5.8028341813423995e-06,8.013965456774574e-06,{'V': 0.010019468393204745},-0.01591818852569714
,,0,39.49030566215515,0.0,0.0,-0.4512784693702064,5.494697431698195e-06,8.158601073954553e-06,{'V': 0.009879592337563652},-0.015946486798623663
,,0,39.7402777671814,0.0,0.0,-0.4524539796275749,5.67706407944667e-06,7.63036664599294e-06,{'V': 0.010211834376260253},-0.015050374822617486
,,0,39.99005484580994,0.0,0.0,-0.4446046046832173,5.890873252669196e-06,7.881906849784362e-06,{'V': 0.011105354448830646},-0.014358010411682092
,,0,40.240190267562866,0.0,0.0,-0.45355365051349894,5.884584747574417e-06,8.296948186039682e-06,{'V': 0.00958462455705353},-0.017059552200399845
,,0,40.489933252334595,0.0,0.0,-0.4473727417408899,5.677064079446931e-06,7.71840571731991e-06,{'V': 0.009463791404615179},-0.01631436434666833
